"Work_Title","Page_Title","Page_Position","Page_URL","Subject","Text","Category","Category","Category"
"1918","Property Of","1","http://localhost:3000/display/display_page?page_id=376","Long Island, Virginia","Long Island Va.","Towns"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","cold","colde","Weather"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","snow","snowy","Weather"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","snow","snowed","Weather"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","setting hens","set","Animals"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","fire","fire","Domestic"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","milking","milked","Animals"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","churning","churned","Domestic"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","feeding","fed","Animals"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","chickens","chickens","Animals"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","Sally Joseph Carr Brumfield","Josie","Ben Brumfield Family","Julia's Household"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","dinner","dinner","Food"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","cooked","cooked","Activities","Domestic"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","beans","beans","Food"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","Edmonds","Edmons","People"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","dance","dance","Social"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","bad","bad","Weather"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","Benjamin Franklin Brumfield, Sr.","Ben","Ben Brumfield Family","Julia's Children"
"1918","Wednesday, January  2, 1918","3","http://localhost:3000/display/display_page?page_id=378","Benjamin Franklin Brumfield, Jr.","Franklin","Ben Brumfield Family","Julia's Household"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","clear","clear","Weather"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","cold","colde","Weather"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Benjamin Franklin Brumfield, Sr.","Ben","Ben Brumfield Family","Julia's Children"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Sally Joseph Carr Brumfield","Josie","Ben Brumfield Family","Julia's Household"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Edmonds","Edmons","People"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Renan, Virginia","Renan","Towns"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Charles Brumfield","Charles","Charles Brumfield Family","Julia's Children"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Helen Brumfield","Hellen &amp; Brumfield","Lee Brumfield Family"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Virginia Harvey","Virginia   Harvey","Kate Brumfield Harvey Family"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","breakfast","breakfast","Food"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","milking","milked","Animals"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","cows","cows","Animals"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","dinner","dinner","Food"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","sewing","sewed","Domestic","Textiles"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","boddices","boddices","Textiles"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","waist","waists","Textiles"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","Carrie Smith","Carries","Carrie Brumfield Smith Family","Julia's Children"
"1918","Thursday, January  3, 1918","4","http://localhost:3000/display/display_page?page_id=379","buttons","buttons","Textiles"
"1918","Friday, January  4, 1918","5","http://localhost:3000/display/display_page?page_id=380","clear","clear","Weather"
"1918","Friday, January  4, 1918","5","http://localhost:3000/display/display_page?page_id=380","cold","colde","Weather"
